fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Oct,24,ODISHA,2431,MALKANGIRI,2408604,254.168545920562,40,258,3649.382138735,10018,0,23062,1871177,448161,38370,1117333,90509,106.04957,8511.375081235,46373,62192,95076,154901,1640,112758,178809,33080,4755.9433725,827210,72,49.07,21.31,99.5,NA
2024-2025,Nov,24,ODISHA,2406,CUTTACK,1859929,252.124988442695,28,52,1501.980939746,5952,0,17184,445173,60726,46674,27441,10619,104.24425,2728.617564546,15763,22467,121461,237860,57,202135,368066,23136,1122.3923748,207666,67,40.51,16.28,99.71,NA
2024-2025,Nov,24,ODISHA,2407,DHENKANAL,3829001,260.949312993717,37,103,3738.03650068,9136,0,18100,1534280,262048,51515,260253,37742,167.17219,7908.90181008,41364,55366,156216,271809,582,199367,340567,27236,4003.6931194,733572,60,42.08,20.53,99.27,NA
2024-2025,Nov,24,ODISHA,2409,BOLANGIR,6871981,303.229827267476,44,425,7372.99853618999,26419,0,48036,4890625,677326,67733,1049983,100219,336.71246,22539.54473599,111040,180936,231987,436688,8717,287102,522676,74455,14829.8337398,2131961,75,35.45,50,99.7,NA
2024-2025,Nov,24,ODISHA,2411,KORAPUT,7272987,266.658168085256,42,478,12002.601798416,19538,0,51812,4592943,618723,46026,2619368,189621,213.69703,24463.756493416,107278,139251,220108,338700,4763,257071,385789,71350,12247.457665,2111643,63,51.36,20.3,99.12,NA
2024-2025,Nov,24,ODISHA,2414,BARGARH,2934817,302.277459903938,33,133,875.836066649,15474,0,18702,1473212,226997,44790,351889,59123,241.8194,5570.843279249,43543,65810,132861,253759,1353,188653,338071,34176,4453.1878126,611234,73,34.34,41.84,99.85,NA
2024-2025,Nov,24,ODISHA,2421,ANGUL,3040548,254.071367006897,34,112,3829.174447511,9928,2,22903,1211435,145587,33109,193957,34444,127.36462,7034.448532411,34877,47049,137989,244993,343,171412,293917,32831,3077.9094649,627759,63,57.09,8.4,99.79,NA
2024-2025,Nov,24,ODISHA,2424,GAJAPATI,2521751,277.667767657769,36,109,2897.706537694,8093,0,21773,1539195,92306,11114,1043930,110712,154.85379,7326.408724094,42295,61085,90555,168411,1324,110224,196758,29866,4273.8483964,770390,64,50.8,21.05,99.34,NA
2024-2025,Nov,24,ODISHA,2428,NUAPADA,2858816,331.500081768264,50,536,2538.798903985,22806,0,31743,2601376,337661,27124,988486,76430,79.88688,11242.249351085,51872,96334,87269,195528,6334,99407,215674,54549,8623.56356710001,1200336,77,44.06,20.94,99.62,NA
2024-2025,Oct,24,ODISHA,2401,SAMBALPUR,1833365,253.721229002444,34,66,799.307170257,11464,0,12385,1128167,162800,24332,564965,78642,160.04359,3821.749937857,32751,46048,90190,159705,389,128811,225575,23849,2862.3991776,533140,69,34.22,32.66,99.56,NA
2024-2025,Oct,24,ODISHA,2402,SUNDARGARH,6992518,253.019173604357,38,350,4047.623871082,22613,0,36483,4256460,355672,30553,2911862,239582,272.66969,15089.953477882,109693,140037,216440,346388,2534,239478,381538,59096,10769.6599168,2088233,75,36.22,34.36,99.71,NA
2024-2025,Oct,24,ODISHA,2406,CUTTACK,1711484,252.169101496071,28,52,1501.426539746,5905,0,17229,441022,60215,46674,27253,10622,104.24425,2717.792004546,15703,22388,121448,237840,55,202119,368036,23134,1112.1212148,205660,67,40.29,16.36,99.7,NA
2024-2025,Oct,24,ODISHA,2408,KANDHAMAL,6201239,258.930719467634,54,3172,7189.649567131,16839,0,37983,6350515,1381144,54488,3481023,136324,207.01047,23840.094216531,116155,176392,147606,246236,13587,158126,264991,54822,16443.4341794,3172234,55,30.72,48.55,99.67,NA
2024-2025,Oct,24,ODISHA,2409,BOLANGIR,6037210,303.732132776156,43,422,7358.81160618999,26142,0,48155,4800621,664694,67662,1029295,100159,336.71246,22276.55261599,109788,178764,231798,436335,8468,286966,522422,74297,14581.0285498,2093468,75,35.45,49.93,99.7,NA
2024-2025,Oct,24,ODISHA,2411,KORAPUT,6463493,267.277401111324,42,476,12001.817098416,19366,0,51930,4521094,609616,46053,2578155,189603,213.69703,24299.376673416,106277,137922,220010,338703,4591,257095,385956,71296,12083.862545,2079155,63,51.08,20.32,99.11,NA
2024-2025,Oct,24,ODISHA,2417,BHADRAK,1919605,259.514347736899,28,82,2481.649950787,10043,0,36450,887234,128823,29317,5651,1436,162.15567,4946.305148787,31535,41387,136069,203475,44,200865,289802,46493,2302.499528,414748,77,27.88,6.62,99.54,NA
2024-2025,Oct,24,ODISHA,2418,KENDRAPARA,1553376,258.452426672545,27,63,414.396272942,6766,0,23820,444547,76066,43095,1309,1295,111.23074,1674.569522142,16448,22321,127964,223774,26,195753,322368,30586,1148.9425092,195869,53,42.71,3.2,99.69,NA
2024-2025,Oct,24,ODISHA,2420,JAJPUR,2084702,257.641352708966,29,66,1688.956929707,9468,0,16601,808851,152256,46375,46812,12489,92.15661,3865.048197507,27675,36432,136164,216946,75,200953,302146,26069,2083.9346578,335702,55,69.24,5.99,99.52,NA
2024-2025,Oct,24,ODISHA,2431,MALKANGIRI,2408604,254.134781774175,42,267,3657.268258735,10631,0,22858,2060022,490353,38562,1234547,91060,106.04957,8998.550242935,48692,65503,95674,155789,2111,113785,180145,33489,5235.2324142,905922,71,47.44,24.17,99.56,NA
2024-2025,Nov,24,ODISHA,2402,SUNDARGARH,7716468,252.787104459286,40,365,4059.490284682,23605,0,35865,4520230,379764,30591,3091953,239953,272.66969,15758.718506582,112990,144729,216797,346925,2956,239920,382156,59470,11426.5585319,2212635,75,36.1,34.91,99.73,NA
2024-2025,Nov,24,ODISHA,2404,MAYURBHANJ,9367031,256.800466884185,39,307,7133.406277344,59305,0,110581,6731391,624537,57864,3356390,308023,340.86219,24760.511983144,169614,220556,353165,583385,2597,433634,692011,169886,17286.2435158,3510250,86,34.04,7.24,99.67,NA
2024-2025,Nov,24,ODISHA,2405,BALESHWAR,2178971,258.832138084424,32,144,2197.530649845,18389,0,50895,1389744,214845,44206,93138,18618,150.5697,5945.204458945,43317,58400,160845,269904,98,253817,406504,69284,3597.1041091,693605,78,30.79,4.38,99.7,NA
2024-2025,Nov,24,ODISHA,2409,BOLANGIR,6871981,302.962081190082,44,426,7388.40085618999,26764,0,47896,5007385,692992,67777,1078345,100300,336.71246,22895.59112539,112495,183441,232115,436930,9026,287302,523038,74660,15170.4778092,2181273,75,35.74,49.76,99.71,NA
2024-2025,Nov,24,ODISHA,2414,BARGARH,2934817,302.291291283275,34,136,878.747486649,15677,0,18584,1524770,236438,44853,365069,59141,241.8194,5729.813808749,44435,67231,133049,254023,1446,188755,338163,34261,4609.2469221,631731,73,33.94,42.59,99.85,NA
2024-2025,Nov,24,ODISHA,2419,JAGATSINGHAPUR,1251380,258.61082614991,23,65,1371.672938789,3758,0,10118,370877,44596,24667,961,572,84.03583,2414.836842489,15565,22423,81330,138894,69,123463,199042,13876,959.1280737,154684,54,51.33,5.29,99.72,NA
2024-2025,Nov,24,ODISHA,2422,NAYAGARH,2149184,257.468083065318,31,71,3410.37697335001,10003,0,17962,953924,100771,24514,96874,15200,145.82444,6012.25125005001,29933,45122,112426,227337,132,167297,328804,27965,2456.0498367,443211,71,45.3,19.79,99.67,NA
2024-2025,Nov,24,ODISHA,2431,MALKANGIRI,2706888,252.577091451821,43,275,3663.151258735,10935,0,22691,2200995,522835,38697,1320009,91346,106.04957,9328.409982735,50474,68177,95999,156270,2484,114250,180755,33626,5559.209154,965715,71,46.26,27.29,99.59,NA
2024-2025,Nov,24,ODISHA,2403,KENDUJHAR,6912551,252.666569817972,35,302,2569.375294407,24727,0,55484,3707226,382621,48171,1869807,209750,215.78974,12152.085804007,105222,150324,250741,450152,1693,315001,538588,80211,9366.92076960001,1922528,86,30.39,15.79,99.74,NA
2024-2025,Nov,24,ODISHA,2408,KANDHAMAL,6907435,258.783660541565,55,3192,7206.302787131,17327,0,37684,6538721,1420607,54582,3584831,136444,207.01047,24334.454813531,116975,177849,147757,246483,14608,158380,265390,55011,16921.1415564,3265278,55,30.44,49.01,99.67,NA
2024-2025,Nov,24,ODISHA,2420,JAJPUR,2331133,257.40172773423,29,66,1688.956929707,9613,0,16484,821822,155518,46367,48031,12501,92.15661,3896.497566607,27960,36832,136197,216938,75,200848,301926,26097,2115.3840269,340964,55,69.22,5.95,99.53,NA
2024-2025,Nov,24,ODISHA,2424,GAJAPATI,2521751,277.991009345451,36,109,2901.254707694,8137,0,21848,1580341,94463,11124,1074076,110817,154.85379,7449.314394694,42901,62051,90636,168568,1406,110345,196965,29985,4393.205897,791195,64,50.48,21.5,99.36,NA
2024-2025,Nov,24,ODISHA,2427,SONEPUR,1392160,257.984762046637,36,30,2065.424498094,7769,0,12838,1033774,181849,27246,77320,10296,112.82646,4845.230352094,28619,39100,79103,135808,418,116721,194903,20607,2666.979394,456637,80,34.8,15.47,99.47,NA
2024-2025,Nov,24,ODISHA,2428,NUAPADA,2858816,332.635778301791,51,544,2539.853353985,22863,0,31891,2690775,349612,27164,1024663,76514,79.88688,11570.220597585,52622,97884,87325,195752,6694,99507,215966,54754,8950.48036360001,1241746,77,44.23,21.2,99.63,NA
2024-2025,Nov,24,ODISHA,2404,MAYURBHANJ,9367031,256.878339230816,39,306,7132.233987344,59216,0,110610,6691273,620596,57848,3335482,307948,340.86219,24661.527133144,169351,220182,353090,583246,2546,433457,691735,169826,17188.4309558,3489652,86,33.97,7.19,99.67,NA
2024-2025,Nov,24,ODISHA,2407,DHENKANAL,3829001,261.153114160463,37,105,3739.50749068,9195,0,18052,1552534,264965,51481,263024,37728,167.17219,7961.17057008,41585,55672,156194,271766,608,199357,340550,27247,4054.4908894,742050,60,42.25,20.52,99.29,NA
2024-2025,Nov,24,ODISHA,2412,GANJAM,16137861,231.228526882038,31,195,10636.871871337,26170,0,35472,3116356,465254,101873,184370,27772,455.68284,18298.458782537,99945,113606,403514,581924,663,435859,622951,61642,7205.9040712,1797882,47,41.88,28.18,99.5,NA
2024-2025,Nov,24,ODISHA,2414,BARGARH,2934817,302.011718071429,34,135,877.250946649,15625,0,18622,1503849,232970,44818,359489,59123,241.8194,5660.870548749,44028,66593,132913,253835,1408,188722,338140,34247,4541.8002021,623358,73,34.07,42.35,99.86,NA
2024-2025,Nov,24,ODISHA,2415,JHARSUGUDA,1161214,254.461084627064,35,31,748.763261539001,5062,0,5394,550604,120407,19418,244349,41225,79.17516,2229.011331939,15590,21944,49509,94648,307,63282,115594,10456,1401.0729104,265712,63,44.51,19.28,99.77,NA
2024-2025,Nov,24,ODISHA,2421,ANGUL,3040548,253.774087351482,34,113,3830.290767511,9928,2,22937,1231164,147416,33116,196114,34445,127.36462,7082.030592311,35241,47545,138025,245036,348,171488,294019,32865,3124.3752048,637850,63,56.83,8.41,99.79,NA
2024-2025,Nov,24,ODISHA,2424,GAJAPATI,2521751,278.958506816925,36,109,2900.954707694,8136,0,21796,1565662,93850,11121,1062861,110787,154.85379,7423.355834694,42713,61731,90619,168533,1385,110322,196935,29932,4367.547337,783675,64,50.66,21.29,99.36,NA
2024-2025,Nov,24,ODISHA,2426,BOUDH,1514949,256.250666160537,35,31,1803.4829598141,8146,0,12300,1010282,187072,27061,113466,13984,80.1281,4472.4654149141,28635,43804,72006,131093,218,93672,163975,20446,2588.8543551,464501,79,38.96,20.95,99.51,NA
2024-2025,Oct,24,ODISHA,2407,DHENKANAL,3460019,260.410188981751,36,103,3734.32290068,8896,0,18307,1500674,256173,51495,254291,37716,167.17219,7809.40309008,40859,54628,156148,271693,548,199283,340457,27203,3907.9079994,717697,60,41.72,20.73,99.24,NA
2024-2025,Oct,24,ODISHA,2411,KORAPUT,6463493,267.434301166361,42,472,12001.700618416,19302,0,51918,4474942,604349,46037,2550658,189515,213.69703,24182.927513716,105570,136915,219871,338527,4499,256897,385743,71220,11967.5298653,2058147,63,51.09,20.3,99.09,NA
2024-2025,Oct,24,ODISHA,2416,DEOGARH,850092,265.092369606254,32,133,1488.831334559,3304,0,4567,591727,69113,13289,202710,29700,71.96302,3129.417480459,18299,27315,49412,90479,180,65078,115593,7871,1568.6231259,300524,36,53.85,19,99.74,NA
2024-2025,Oct,24,ODISHA,2421,ANGUL,2703335,253.856404479456,34,111,3829.174447511,9879,2,22898,1166838,141018,33076,188884,34429,127.36462,6918.632060411,34146,45993,137794,244741,325,171255,293766,32777,2962.0929929,605681,63,57.16,8.44,99.78,NA
2024-2025,Oct,24,ODISHA,2423,KHORDHA,1050396,255.159309823095,26,53,1334.462575472,3947,0,9037,354257,33186,16227,22979,8602,67.33305,2305.715341672,13250,18231,66863,123282,121,109126,189649,12984,903.9197162,156173,54,48.79,17.74,99.83,NA
2024-2025,Oct,24,ODISHA,2424,GAJAPATI,2217820,277.147940664056,35,114,2895.792257694,8014,0,21739,1487193,89272,11119,1007084,110638,154.85379,7172.370820894,41450,59684,90501,168422,1211,110147,196801,29753,4121.7247732,744940,65,50.67,20.92,99.31,NA
2024-2025,Oct,24,ODISHA,2426,BOUDH,1358903,255.895760721125,34,31,1803.4829598141,7828,0,12570,986347,183092,27041,111309,13978,80.1281,4407.6312188141,28232,43178,71939,130989,187,93602,163851,20398,2524.020159,453544,79,39.22,21.05,99.4,NA
2024-2025,Oct,24,ODISHA,2431,MALKANGIRI,2408604,253.077555059432,42,266,3655.673758735,10570,0,22870,2031305,484714,38553,1216773,90962,106.04957,8902.500358535,48288,64876,95591,155667,2035,113632,179959,33440,5140.7770298,893899,71,48.13,23,99.55,NA
2024-2025,Oct,24,ODISHA,2409,BOLANGIR,6037210,302.558777080747,43,422,7352.38768618999,26024,0,48233,4772302,661164,67645,1022366,100137,336.71246,22128.11871599,109464,178197,231744,436222,8413,286914,522314,74257,14439.0185698,2081590,75,35.43,49.95,99.69,NA
2024-2025,Oct,24,ODISHA,2410,KALAHANDI,5034732,308.156863931464,44,314,9979.101881411,22916,0,36135,4511719,863659,67299,1538236,124206,190.52928,24072.802941211,102115,161116,214859,389443,8816,271932,472745,59051,13903.1717798,2160858,53,27.09,48.39,99.65,NA
2024-2025,Oct,24,ODISHA,2414,BARGARH,2573983,299.732739361105,33,132,871.719176649,15131,0,18928,1425712,218491,44727,338588,59067,241.8194,5386.864209649,42661,64374,132688,253514,1279,188532,337915,34059,4273.325633,593670,73,34.85,41,99.84,NA
2024-2025,Oct,24,ODISHA,2421,ANGUL,2703335,250.6170011598,34,112,3829.174447511,9885,2,22912,1188136,143160,33084,190599,34434,127.36462,6934.209880411,34534,46516,137861,244838,334,171302,293823,32797,2977.6708129,616056,63,57.13,8.44,99.78,NA
2024-2025,Oct,24,ODISHA,2423,KHORDHA,1050396,253.337434954537,26,53,1334.597575472,3957,0,9032,357327,33523,16230,23021,8606,67.33305,2307.173681672,13317,18332,66875,123306,122,109133,189671,12989,905.2430562,157791,54,48.91,17.76,99.83,NA
2024-2025,Oct,24,ODISHA,2428,NUAPADA,2486358,333.382886587282,49,520,2536.000553985,22777,0,31607,2505689,325921,27048,952924,76230,79.88688,10969.425751085,50765,94148,87084,195062,6023,99328,215388,54384,8353.53831710001,1156771,77,43.52,20.83,99.61,NA
2024-2025,Oct,24,ODISHA,2402,SUNDARGARH,6992518,255.358448275497,36,335,4025.387816082,19344,0,38982,3780220,313681,30468,2589132,238998,272.61969,13951.118639482,103227,131186,215859,345568,1922,238736,380515,58326,9653.1111334,1859826,75,36.53,33.2,99.71,NA
2024-2025,Oct,24,ODISHA,2412,GANJAM,14591093,231.830716944016,29,186,10561.784516873,23104,0,38064,2774596,413809,101773,157790,27730,455.68284,17449.833155973,94363,107098,403235,581315,495,434979,621458,61168,6432.3657991,1599836,47,42.26,28.77,99.38,NA
2024-2025,Oct,24,ODISHA,2417,BHADRAK,1919605,260.246182754662,27,81,2477.568150787,8300,0,38177,842419,121619,29225,5534,1437,162.15567,4832.087111087,30733,40274,136046,203464,42,200610,289571,46477,2192.3632903,393094,77,27.93,6.68,99.56,NA
2024-2025,Oct,24,ODISHA,2420,JAJPUR,2084702,258.87066592631,28,62,1688.956929707,8573,0,17374,759994,141975,46364,43826,12482,92.15661,3748.515068507,26811,35242,136025,216815,63,200598,301814,25947,1967.4015288,315554,55,68.91,6.18,99.52,NA
2024-2025,Oct,24,ODISHA,2424,GAJAPATI,2217820,276.868413738096,34,103,2858.824454094,7525,0,21881,1354045,82350,11104,913060,110360,154.85379,6762.601156894,39282,56236,90313,168029,993,109752,196044,29406,3748.9229128,677661,65,51.15,20.16,99.3,NA
2024-2025,Oct,24,ODISHA,2427,SONEPUR,1239847,259.578233700366,35,30,2063.217781094,7124,0,13307,968488,168773,27166,70810,10271,112.82646,4690.028285094,27590,37597,78866,135436,302,116524,194620,20431,2513.984044,426392,80,35.05,15.82,99.45,NA
2024-2025,Oct,24,ODISHA,2429,RAYAGADA,3706833,265.274288626524,37,314,4613.627030815,10691,0,37297,2280033,405129,34170,1427359,123598,153.25899,10815.227342015,60316,82415,124070,200802,1723,153463,240402,47988,6048.34132119999,1110224,59,53.08,12.13,99.28,NA
2024-2025,Oct,24,ODISHA,2430,NABARANGAPUR,4677853,269.62310227546,41,158,6247.361307183,11090,0,39064,2852258,432201,41051,1397739,145681,132.72669,14070.434501683,69006,93433,163981,267254,2238,210018,330775,50154,7690.3465045,1307090,73,32.05,29.15,99.33,NA
2024-2025,Oct,24,ODISHA,2420,JAJPUR,2084702,257.774492722379,28,62,1642.112665707,8446,0,17491,746810,139351,46351,42921,12479,79.94842,3647.146774807,26555,34896,135986,216745,62,200509,301681,25937,1925.0856891,310138,55,68.61,6.42,99.49,NA
2024-2025,Oct,24,ODISHA,2431,MALKANGIRI,2408604,254.331171328759,39,258,3544.65715787,9830,0,23201,1803089,434466,38308,1074569,90420,87.17104,8217.64557167,45423,60870,94948,154694,1514,112524,178506,33031,4585.8173738,798983,72,49.5,20.45,99.49,NA
2024-2025,Oct,24,ODISHA,2402,SUNDARGARH,6992518,253.761622407565,37,341,4032.966441082,20017,0,38516,3962876,329713,30505,2712291,239411,272.66969,14361.894562682,105571,134416,216243,346148,2138,238975,380905,58533,10056.2584316,1947870,75,36.3,33.74,99.69,NA
2024-2025,Oct,24,ODISHA,2412,GANJAM,14591093,230.668763110846,29,190,10611.392331337,23183,0,38196,2878342,430204,101836,165684,27748,455.68284,17706.511060837,96428,109529,403363,581654,524,435300,622163,61379,6639.4358895,1661353,47,41.99,28.82,99.38,NA
2024-2025,Oct,24,ODISHA,2416,DEOGARH,850092,265.290244054946,31,130,1487.814654559,2940,0,4860,558153,64596,13270,190459,29666,71.96302,3040.503130459,17714,26422,49356,90381,149,65003,115497,7800,1480.7254559,283550,36,54.24,18.79,99.75,NA
2024-2025,Oct,24,ODISHA,2417,BHADRAK,1919605,260.384038967058,27,82,2480.398150787,8473,0,38052,860881,124889,29268,5622,1437,162.15567,4884.150539287,31015,40688,136138,203636,42,200901,289950,46525,2241.5967185,402283,77,27.93,6.7,99.54,NA
2024-2025,Oct,24,ODISHA,2423,KHORDHA,1050396,254.857903205835,26,53,1332.406675472,3789,0,9139,339194,31924,16233,21750,8588,67.33305,2264.202441672,12900,17727,66867,123282,106,109158,189721,12928,864.4627162,149349,54,48.76,17.83,99.79,NA
2024-2025,Oct,24,ODISHA,2401,SAMBALPUR,1833365,253.761385123473,33,64,799.277170257,10867,0,12850,1051603,152969,24286,521904,78578,160.04359,3627.883099057,31492,44145,90059,159565,335,128813,225679,23717,2668.5623388,499676,69,34.69,31.08,99.55,NA
2024-2025,Oct,24,ODISHA,2412,GANJAM,14591093,229.876931922627,29,187,10610.642491337,23136,0,38221,2857102,426962,101797,164864,27745,455.68284,17634.143750837,95936,108959,403317,581497,526,435240,621945,61357,6567.8184195,1648893,47,41.88,28.94,99.37,NA
2024-2025,Oct,24,ODISHA,2418,KENDRAPARA,1553376,256.567466692053,26,63,414.396272942,6434,0,24127,425424,72742,43069,1232,1295,111.23074,1617.126592442,16193,21982,127917,223681,26,195673,322249,30561,1091.4995795,187564,53,42.84,3.33,99.59,NA
2024-2025,Oct,24,ODISHA,2420,JAJPUR,2084702,257.729971472788,28,63,1688.956929707,8713,0,17275,775400,145047,46379,44899,12482,92.15661,3779.551738507,27092,35622,136076,216881,64,200744,301986,25988,1998.4381988,321756,55,69.06,6.09,99.52,NA
2024-2025,Oct,24,ODISHA,2424,GAJAPATI,2217820,276.743036017845,34,106,2891.553957694,7711,0,21804,1397113,84301,11106,943714,110483,154.85379,6912.820680494,40107,57598,90385,168193,1069,109838,196225,29515,3866.4129328,699405,65,51.15,20.27,99.29,NA
2024-2025,Oct,24,ODISHA,2428,NUAPADA,2486358,332.663871277918,47,483,2531.487573985,21019,0,32900,2305665,302398,27026,875388,76086,79.88688,10281.488901685,48316,88910,86921,194611,5347,99174,214876,53919,7670.1144477,1065115,78,43.01,20.01,99.6,NA
2024-2025,Oct,24,ODISHA,2417,BHADRAK,1919605,259.617409665086,27,82,2480.398150787,8300,0,38211,853712,123730,29252,5615,1437,162.15567,4858.938801187,30879,40511,136092,203558,42,200822,289850,46511,2216.3849804,398686,77,27.71,6.76,99.55,NA
2024-2025,Oct,24,ODISHA,2421,ANGUL,2703335,253.928507702978,33,104,3829.139307511,9518,2,23088,1081400,132383,33053,179043,34399,127.36462,6702.486809811,32437,43684,137543,244429,286,170805,293241,32606,2745.9828823,563879,63,57.4,8.66,99.79,NA
2024-2025,Oct,24,ODISHA,2424,GAJAPATI,2217820,276.418739372847,34,111,2890.865877694,7525,0,21952,1379250,83432,11104,931834,110435,154.85379,6858.225130494,39807,57088,90357,168124,1036,109790,196117,29477,3812.5054628,690178,65,51.34,20.19,99.3,NA
2024-2025,Oct,24,ODISHA,2426,BOUDH,1358903,256.026711929097,34,31,1803.4829598141,7581,0,12752,963124,178680,27036,109023,13969,80.1281,4349.4657688141,27889,42639,71888,130903,173,93505,163701,20333,2465.854709,442598,79,39.66,20.93,99.38,NA
2024-2025,Oct,24,ODISHA,2430,NABARANGAPUR,4677853,269.420095997967,41,158,6481.922848741,11093,0,39111,2880686,436936,41114,1410571,145796,132.72669,14375.796525341,69337,93923,164177,267514,2312,210142,330914,50204,7761.1469866,1320218,73,32.09,29.12,99.33,NA
